,",ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location"
1,"2544,4676906,HM278933,03/01/2003 12:00:00 AM,004XX W 42ND PL,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,935,9.0,11.0,61.0,26,1173974.0,1876757.0,2003,04/15/2016 08:55:02 AM,41.817229156,-87.637328162,""(41.817229156, -87.637328162)"""
2,"2919,4789749,HM402220,06/20/2004 11:00:00 AM,025XX N KIMBALL AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,False,1413,14.0,35.0,22.0,20,,,2004,08/17/2015 03:03:40 PM,,,"
3,"2927,4789765,HM402058,12/30/2004 08:00:00 PM,045XX W MONTANA ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,False,False,2521,25.0,31.0,20.0,06,,,2004,08/17/2015 03:03:40 PM,,,"
4,"3302,4677901,HM275615,05/01/2003 01:00:00 AM,111XX S NORMAL AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,False,False,2233,22.0,34.0,49.0,06,1174948.0,1831051.0,2003,04/15/2016 08:55:02 AM,41.691784636,-87.635115968,""(41.691784636, -87.635115968)"""
5,"3633,4838048,HM440266,08/01/2004 12:01:00 AM,012XX S HARDING AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,APARTMENT,False,False,1011,10.0,24.0,29.0,06,,,2004,08/17/2015 03:03:40 PM,,,"
6,"3756,4791194,HM403711,01/01/2001 11:00:00 AM,114XX S ST LAWRENCE AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,True,True,531,5.0,9.0,50.0,02,1182247.0,1829375.0,2001,08/29/2006 03:46:28 AM,41.687020002,-87.60844523,""(41.687020002, -87.60844523)"""
7,"4502,4679521,HM216293,03/15/2003 12:00:00 AM,090XX S RACINE AVE,5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,RESIDENCE PORCH/HALLWAY,False,False,2222,22.0,21.0,73.0,26,1169911.0,1844832.0,2003,04/15/2016 08:55:02 AM,41.729712374,-87.653158513,""(41.729712374, -87.653158513)"""
8,"4564,4792195,HM405396,09/16/2004 10:00:00 AM,003XX W HUBBARD ST,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,1831,18.0,42.0,8.0,06,,,2004,08/17/2015 03:03:40 PM,,,"
9,"4904,4680124,HM282389,01/01/2003 12:00:00 AM,009XX S SPAULDING AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,1134,11.0,24.0,29.0,06,1154521.0,1895755.0,2003,04/15/2016 08:55:02 AM,41.869772159,-87.708180162,""(41.869772159, -87.708180162)"""
10,"6333,4682244,HM282286,06/05/2003 12:00:00 AM,093XX S WALLACE ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,2223,22.0,21.0,73.0,06,1173946.0,1842903.0,2003,04/15/2016 08:55:02 AM,41.724330486,-87.638434248,""(41.724330486, -87.638434248)"""
11,"6564,4795453,HM409822,11/01/2004 12:01:00 AM,058XX N WINTHROP AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,2022,20.0,48.0,77.0,06,,,2004,08/17/2015 03:03:40 PM,,,"
12,"7992,4684808,HM286351,01/01/2003 12:00:00 AM,060XX S KEELER AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,813,8.0,13.0,65.0,06,1149407.0,1864157.0,2003,04/15/2016 08:55:02 AM,41.783163561,-87.727772951,""(41.783163561, -87.727772951)"""
13,"8901,4800321,HM414182,11/01/2004 12:00:00 AM,026XX E 78TH ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,421,4.0,7.0,43.0,06,,,2004,08/17/2015 03:03:40 PM,,,"
