,",ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location"
1,"835,4786,HP616595,10/09/2008 03:30:00 AM,048XX W POLK ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1533,15.0,24.0,25.0,01A,1144200.0,1895857.0,2008,08/17/2015 03:03:40 PM,41.87025207,-87.746069362,""(41.87025207, -87.746069362)"""
2,"1334,4787,HP616904,10/09/2008 08:35:00 AM,030XX W MANN DR,0110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,False,False,831,8.0,18.0,66.0,01A,1157314.0,1859778.0,2008,08/17/2015 03:03:40 PM,41.770990476,-87.698901469,""(41.770990476, -87.698901469)"""
3,"1907,4788,HP618616,10/10/2008 02:33:00 AM,052XX W CHICAGO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,RESTAURANT,False,False,1524,15.0,37.0,25.0,01A,1141065.0,1904824.0,2008,08/17/2015 03:03:40 PM,41.894916924,-87.757358147,""(41.894916924, -87.757358147)"""
4,"2436,4789,HP619020,10/10/2008 12:50:00 PM,026XX S HOMAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,GARAGE,False,True,1032,10.0,22.0,30.0,01A,1154123.0,1886297.0,2008,08/17/2015 03:03:40 PM,41.843826272,-87.709893465,""(41.843826272, -87.709893465)"""
5,"3056,4790,HP620131,10/10/2008 08:32:00 PM,015XX W 14TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,True,1231,12.0,2.0,28.0,01A,1166321.0,1893492.0,2008,08/17/2015 03:03:40 PM,41.863318307,-87.664923682,""(41.863318307, -87.664923682)"""
6,"3611,4791,HP620406,10/11/2008 12:55:00 AM,020XX W 23RD ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1034,10.0,25.0,31.0,01A,1163192.0,1888742.0,2008,08/17/2015 03:03:40 PM,41.850350125,-87.676543351,""(41.850350125, -87.676543351)"""
7,"4425,4792,HP622040,10/11/2008 10:25:00 PM,069XX S PAXTON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,331,3.0,5.0,43.0,01A,1192078.0,1859337.0,2008,08/17/2015 03:03:40 PM,41.769005966,-87.571485086,""(41.769005966, -87.571485086)"""
8,"5213,4793,HP622164,10/11/2008 10:00:00 PM,060XX S SAWYER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,False,False,823,8.0,16.0,66.0,01A,1155755.0,1864457.0,2008,08/17/2015 03:03:40 PM,41.783861768,-87.704490821,""(41.783861768, -87.704490821)"""
9,"5867,4794,HP622189,10/12/2008 05:47:00 AM,024XX W 51ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,False,False,911,9.0,14.0,63.0,01A,1160775.0,1870785.0,2008,08/17/2015 03:03:40 PM,41.801124416,-87.685910818,""(41.801124416, -87.685910818)"""
10,"6359,4795,HP623937,10/12/2008 10:33:00 PM,057XX S ASHLAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,713,7.0,16.0,67.0,01A,1166656.0,1866562.0,2008,08/17/2015 03:03:40 PM,41.789412422,-87.664463578,""(41.789412422, -87.664463578)"""
